Subject,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours
PRAXIS Special Education,0.8874975,1.491665,2.0958325,2.458333
Management,0.01666,0.21666,1.05,2.369994
Structural Engineering,2.2458325,2.291665,2.3374975,2.364997
SSAT- Elementary Level,0.66666,1.11666,1.8333275,2.313329
AP Spanish Language & Culture,0.174995,0.25,0.624995,2.28333
CLEP College Algebra,0.06666,0.06666,1.274995,2.21666
Series 63,0.78333,1.48333,2.18333,2.18333
Biostatistics,0.691665,2.01666,2.12916,2.18333
Endocrinology,2.16666,2.16666,2.16666,2.16666
AP Latin,0.22083,1.166665,2.05,2.05
Econometrics,1.96666,1.96666,1.96666,1.96666
Elementary School Math (in French),1.91666,1.91666,1.91666,1.91666
Business Writing,0.0624975,0.08333,0.7374975,1.914999
Adobe Illustrator,0.216665,0.33333,0.941665,1.863328
Rhino,0.3416625,1.141665,1.85,1.85
College Level American Literature,1.8,1.8,1.8,1.8
SPSS Statistic Software,0.69583,1.10833,1.52083,1.76833
High School Accounting,1.61666,1.61666,1.61666,1.61666
MPJE - Texas,1.36666,1.48333,1.6,1.6
Mandarin Chinese 2,0.01666,0.01666,0.537495,1.474998
MAP,1.43333,1.43333,1.43333,1.43333
Legal Research,1.43333,1.43333,1.43333,1.43333
GRE Quantitative,0.7208325,0.991665,1.2624975,1.424997
ARRT - Mammography,1.35,1.35,1.35,1.35
CPA AUD,0.137495,0.5,0.7124975,1.249995
Vietnamese,0.124995,0.21666,0.81666,1.17666
Materials Science,0.437495,0.70833,0.979165,1.141666
SAEE,0.699995,1.13333,1.13333,1.13333
Histology,1.11666,1.11666,1.11666,1.11666
Photography,1.05,1.05,1.05,1.05
ANCC - Psychiatric-Mental Health Nurse Practitioner (Across the Lifespan) Certification (PMHNP),1.0,1.0,1.0,1.0
AP Studio Art: Drawing,0.96666,0.96666,0.96666,0.96666
Elementary Statistics,0.96666,0.96666,0.96666,0.96666
NCLEX-PN,0.4,0.491665,0.7499975,0.95
Psychology,0.03333,0.1,0.21666,0.886662
CompTIA A+,0.85,0.85,0.85,0.85
LSW - Licensed Social Worker,0.1749975,0.45,0.6999975,0.816665
Mandarin Chinese 3,0.81666,0.81666,0.81666,0.81666
German 2,0.78333,0.78333,0.78333,0.78333
Health Care Administration,0.491665,0.58333,0.674995,0.729994
LSAT Reading Comprehension,0.6,0.6,0.65,0.68
GMAT Quantitative Reasoning,0.65,0.65,0.65,0.65
CPA FAR,0.05416,0.18333,0.5,0.635
Bar Exam,0.05,0.10833,0.199995,0.61666
ACCUPLACER Reading,0.56666,0.56666,0.56666,0.56666
Constitutional Law,0.46666,0.46666,0.46666,0.46666
EMT,0.0791625,0.124995,0.229165,0.416665
CCNA,0.41666,0.41666,0.41666,0.41666
Salesforce Admin,0.2,0.2,0.2,0.399998
USMLE Step 1,0.0583275,0.1,0.1749975,0.391665
ISEE-Upper Level Quantitative Reasoning,0.33333,0.33333,0.33333,0.33333
SIE,0.03333,0.05,0.11666,0.33333
ARDMS - RDMS - Obstetrics and Gynecology  (OB/GYN),0.3,0.3,0.3,0.3
CLEP Introduction to Business Law,0.28333,0.28333,0.28333,0.28333
High School French,0.26666,0.26666,0.26666,0.26666
CNA Certification,0.26666,0.26666,0.26666,0.26666
Canadian French Language Proficiency,0.1208325,0.18333,0.2333275,0.263329
Anthropology,0.25,0.25,0.25,0.25
Theatre,0.12083,0.15833,0.19583,0.21833
CLEP History of the United States II: 1865 to the Present,0.2,0.2,0.2,0.2
Exam SRM - Statistics for Risk Modeling,0.18333,0.18333,0.18333,0.18333
Real Estate License,0.03333,0.05,0.16666,0.18333
IB Global Politics,0.15,0.15,0.15,0.15
World Religions,0.13333,0.13333,0.13333,0.13333
CLEP Social Sciences and History,0.13333,0.13333,0.13333,0.13333
French Immersion,0.11666,0.11666,0.11666,0.11666
Plant Biology,0.11666,0.11666,0.11666,0.11666
French 3,0.062495,0.074995,0.0874975,0.094999
Mandarin Chinese 4,0.08333,0.08333,0.08333,0.08333
ANCC - Family Nurse Practitioner Certification (FNP),0.08333,0.08333,0.08333,0.08333
AIS,0.06666,0.06666,0.06666,0.06666
Viola,0.06666,0.06666,0.06666,0.06666
PANCE,0.03333,0.03333,0.03333,0.03333
African-American History,0.03333,0.03333,0.03333,0.03333
Firefighter Exam,0.01666,0.01666,0.01666,0.01666
PRAXIS Core Writing,0.01666,0.01666,0.01666,0.01666
Property Law,0.0,0.0,0.0,0.0
PRAXIS Music,0.0,0.0,0.0,0.0
