1) Tutor Tutor Start Month,2026-04,2026-04.1,2026-04.2,2026-04.3
ARDMS - RDMS - Obstetrics and Gynecology  (OB/GYN),1,1,1,0
Adult ESL/ELL,1,5,0,2
Art,1,4,1,3
Basic Computer Literacy,1,6,0,2
CLEP,1,2,1,0
CLEP American Government,1,1,1,0
Certified Reading Intervention,1,2,0,1
Competition Math,1,1,1,0
Computer Programming,1,2,0,0
Differential Equations,1,3,1,0
Drawing,1,5,0,2
Dyslexia,1,1,0,0
Elementary Reading and Phonics Class ,1,2,0,0
Engineering,1,2,1,2
Filmmaking,1,1,1,1
GRE,1,1,0,0
Government,1,1,1,1
High School Government,1,3,1,0
High School Level American History,1,3,1,1
High School Political Science,1,1,1,0
Kindergarten Readiness,1,4,0,2
Late Elementary Reading Comprehension,1,1,0,0
Learning Disability,1,1,0,0
Linguistics,1,1,0,0
Medical Terminology,1,2,1,2
Medicine,1,2,1,2
Microsoft Excel,1,5,0,4
Microsoft Office,1,5,0,4
NREMT,1,1,1,0
PC Basic Computer Skills,1,7,0,1
Pathology,1,1,1,1
Performing Arts,1,1,1,1
Political Science,1,2,1,1
Productivity,1,6,0,6
Reading Intervention,1,2,0,1
Regents,1,1,1,0
Social Networking,1,1,0,0
Social Studies,1,4,1,4
Spanish 1,1,6,0,1
Special Education,1,1,0,0
Spelling Bee,1,1,0,0
Technical Writing,1,3,1,0
10th Grade AP English Literature,0,1,0,0
10th Grade Literature,0,1,0,0
11th Grade AP English Language,0,1,0,0
11th Grade AP English Literature,0,1,0,0
1st Grade English,0,1,0,0
2nd Grade English,0,1,0,0
ACT English,0,2,0,0
ACT Reading,0,1,0,0
ACT Writing,0,1,0,1
AP European History,0,1,0,0
AP Human Geography,0,1,0,0
AP Music Theory,0,2,0,0
AP Research,0,2,0,1
AP US History,0,4,0,1
AP World History,0,2,0,0
ASVAB,0,1,0,0
Administrative Law,0,4,0,0
Adobe Illustrator,0,1,0,1
Agribusiness,0,1,0,0
Agricultural Science,0,1,0,0
American Sign Language,0,1,0,1
Autocad,0,1,0,0
BCABA,0,1,0,1
Bar Exam,0,1,0,0
Business,0,4,0,3
CLEP Humanities,0,1,0,0
CPA,0,1,0,0
CPCE,0,1,0,0
Calculus 3,0,2,0,0
Canadian Law,0,1,0,0
Civil Engineering,0,1,0,0
College Business,0,1,0,1
Constitutional Law,0,1,0,0
Contract Law,0,4,0,0
Conversational Spanish,0,3,0,2
Cyber Security,0,1,0,1
EMT,0,1,0,1
Elementary Social Studies,0,4,0,2
Environmental Science,0,1,0,1
Expository Writing,0,3,0,1
Financial Accounting,0,1,0,0
Flute,0,1,0,0
French,0,1,0,1
French 2,0,1,0,1
French 3,0,1,0,0
French 4,0,1,0,0
GED,0,1,0,0
Grade 12 Physics,0,1,0,0
Graphic Design,0,1,0,1
HTML,0,2,0,1
High School Business,0,1,0,1
History,0,2,0,2
Insurance License,0,1,0,1
Japanese,0,1,0,1
Kindergarten English,0,1,0,0
Kindergarten Reading,0,1,0,0
Latin,0,1,0,1
Latin 1,0,1,0,1
Latin 2,0,1,0,0
Latin 4,0,1,0,0
Law,0,3,0,3
Law School Application Essays,0,1,0,0
Legal Writing,0,4,0,3
Linear Algebra,0,1,0,0
Mac Basic Computer Skills,0,4,0,0
Macroeconomics,0,1,0,0
Marketing,0,2,0,1
Math 1,0,2,0,0
Math 2,0,1,0,0
Microeconomics,0,1,0,0
Microsoft Power BI,0,1,0,1
Microsoft Word,0,4,0,0
Middle School Social Studies,0,2,0,1
Music Education,0,2,0,0
Music Fundamentals,0,1,0,0
Music History,0,2,0,0
Music Theory,0,2,0,2
Orton Gillingham,0,1,0,1
PRAXIS,0,2,0,1
PRAXIS Music,0,2,0,1
PSAT Writing Skills,0,1,0,0
Painting,0,3,0,2
Philosophy,0,1,0,1
Photoshop,0,1,0,1
Quickbooks,0,1,0,0
Reading Fundamentals: Phonics and Decoding,0,1,0,0
Sculpture,0,2,0,2
Spanish,0,3,0,2
Spanish 4,0,1,0,0
Statics,0,1,0,0
Statics and Dynamics,0,1,0,0
Structural Engineering,0,1,0,1
Tableau,0,1,0,1
UK A Level,0,1,0,0
UK A Level English Language,0,1,0,0
UK A Level English Literature,0,1,0,0
UK A Level Philosophy,0,1,0,0
Vibe Coding,0,1,0,0
Visual Arts,0,4,0,2
Westlaw Research,0,1,0,0
