Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
Middle School Reading,92.0,12.0,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,,,,,,,,14.0,2172.0,1557.0,44.0,44.4,73.1,down,-28.7,108.0,48.0,Over-Supplied,Middle School
Organic Chemistry,9.0,12.0,11.0,33.0,-21.0,75,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,11.0,,,,,,,1.0,9.0,299.0,243.0,100.0,100.0,81.1,up,18.9,3.0,3.0,True Supply Problem,College
Executive Functioning,15.0,8.0,18.0,-46.0,48.0,184,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,,,,,,,9.0,5.0,422.0,326.0,40.0,40.0,79.1,down,-39.1,20.0,8.0,Over-Supplied,Other
High School Biology,35.0,10.0,42.0,-71.0,175.0,350,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,,,,,,,31.0,2.0,950.0,697.0,45.0,45.5,75.1,down,-29.6,55.0,25.0,Over-Supplied,High School
Statistics,12.0,12.0,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,11.0,,,,,,,12.0,9.0,572.0,487.0,76.0,76.5,85.4,down,-8.9,17.0,13.0,On Track,College
High School Physics,12.0,10.0,14.0,-15.0,13.0,118,False,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,14.0,14.0,14.0,9.0,,,,,,,6.0,2.0,718.0,589.0,83.0,83.3,82.0,flat,1.3,6.0,5.0,On Track,High School
College Application Essays,35.0,8.0,42.0,-76.0,186.0,415,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,,,,,,,,27.0,1.0,662.0,502.0,32.0,31.6,78.5,down,-46.9,38.0,12.0,Over-Supplied,College
Elementary School Writing,107.0,8.0,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,,,,,,,,8.0,2559.0,1837.0,45.0,44.7,73.2,down,-28.4,123.0,55.0,Over-Supplied,Elementary
AP Chemistry,12.0,7.0,14.0,-40.0,34.0,168,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,,,,,,,8.0,7.0,481.0,384.0,67.0,66.7,80.2,down,-13.5,12.0,8.0,On Track,AP
Middle School Science,60.0,6.0,72.0,-89.0,375.0,933,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,,,,,,,,10.0,1460.0,1072.0,46.0,46.0,75.4,down,-29.4,100.0,46.0,Over-Supplied,Middle School
College Biology,19.0,8.0,23.0,-56.0,75.0,229,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,,,,,,,11.0,5.0,529.0,403.0,58.0,57.9,76.9,down,-19.0,19.0,11.0,On Track,College
LSAT,4.0,9.0,5.0,132.0,-37.0,43,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,,,,,,,2.0,22.0,101.0,80.0,100.0,100.0,78.6,up,21.4,3.0,3.0,True Supply Problem,Test Prep
Coding,15.0,6.0,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,,,,,,,,6.0,337.0,256.0,55.0,54.5,77.5,down,-22.9,22.0,12.0,On Track,College
Handwriting,16.0,5.0,19.0,-68.0,76.0,311,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,,,,,,,,6.0,242.0,188.0,33.0,33.3,78.8,down,-45.5,6.0,2.0,Over-Supplied,Elementary
Elementary School English,92.0,7.0,110.0,-93.0,598.0,1400,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,,,,,,,,7.0,2853.0,2057.0,40.0,40.0,73.6,down,-33.6,130.0,52.0,Over-Supplied,Elementary
AP Physics 1,10.0,5.0,12.0,-47.0,33.0,189,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,,,,,,,5.0,1.0,503.0,423.0,86.0,85.7,84.1,flat,1.6,7.0,6.0,On Track,AP
AP Calculus BC,5.0,7.0,6.0,34.0,-12.0,74,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,5.0,4.0,4.0,9.0,10.0,9.0,6.0,,,,,,,4.0,3.0,370.0,316.0,50.0,50.0,85.8,down,-35.8,4.0,2.0,True Supply Problem,AP
AP Human Geography,3.0,5.0,4.0,81.0,-17.0,55,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,,,,,,2.0,2.0,107.0,80.0,50.0,50.0,75.7,down,-25.7,4.0,2.0,True Supply Problem,AP
Spanish 1,19.0,6.0,23.0,-68.0,90.0,309,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,,,,,,,14.0,1.0,627.0,481.0,43.0,43.5,78.0,down,-34.5,23.0,10.0,Over-Supplied,Language
Spanish 2,14.0,4.0,17.0,-68.0,67.0,316,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,,,,,,,,5.0,2.0,597.0,462.0,18.0,18.2,78.5,down,-60.3,11.0,2.0,Over-Supplied,Language
AP Statistics,7.0,5.0,8.0,-31.0,15.0,144,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,,,,,,,7.0,1.0,382.0,324.0,56.0,55.6,85.5,down,-30.0,9.0,5.0,On Track,AP
AP English Language and Composition,30.0,5.0,36.0,-83.0,175.0,600,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,,,,,,,,4.0,535.0,390.0,50.0,50.0,75.2,down,-25.2,48.0,24.0,On Track,AP
Essay Editing,56.0,5.0,67.0,-91.0,357.0,1120,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,,,,,,,,4.0,1202.0,892.0,39.0,39.1,76.3,down,-37.2,69.0,27.0,Over-Supplied,Other
AP Physics C: Mechanics,2.0,5.0,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,4.0,,,,,,,1.0,4.0,147.0,123.0,84.0,,83.7,,,0.0,0.0,True Supply Problem,AP
Calculus 3,4.0,5.0,5.0,21.0,-6.0,82,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,,,,,,,1.0,3.0,262.0,224.0,100.0,100.0,85.4,up,14.6,1.0,1.0,True Supply Problem,College
AP Computer Science A,7.0,6.0,8.0,-20.0,10.0,126,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,4.0,,,,,,,,4.0,200.0,161.0,33.0,33.3,82.0,down,-48.6,6.0,2.0,Over-Supplied,AP
IB Mathematics: Analysis and Approaches,1.0,6.0,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,4.0,,,,,,,0.0,1.0,137.0,114.0,83.0,,83.2,,,0.0,0.0,True Supply Problem,IB
Adobe Illustrator,10.0,3.0,12.0,-69.0,48.0,318,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,,,,,,,,4.0,97.0,72.0,67.0,66.7,74.7,down,-8.1,6.0,4.0,On Track,Arts & Music
SAT Math,14.0,2.0,17.0,-85.0,83.0,653,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,15.0,4.0,728.0,607.0,76.0,75.9,83.7,down,-7.8,29.0,22.0,On Track,Test Prep
Study Skills And Organization,17.0,4.0,20.0,-77.0,92.0,441,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,,,,,,,3.0,2.0,965.0,775.0,43.0,42.9,80.9,down,-38.0,14.0,6.0,Over-Supplied,Other
Calculus 2,11.0,5.0,13.0,-57.0,44.0,233,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,,,,,,,5.0,1.0,506.0,422.0,57.0,57.1,83.8,down,-26.6,7.0,4.0,On Track,College
Public Speaking,26.0,3.0,31.0,-89.0,162.0,910,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,,,,,,,,8.0,706.0,546.0,41.0,41.2,78.2,down,-37.1,17.0,7.0,Over-Supplied,College
Trigonometry,24.0,3.0,29.0,-86.0,145.0,730,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,,,,,,,,4.0,851.0,690.0,64.0,64.3,81.7,down,-17.4,28.0,18.0,On Track,High School
Nursing,12.0,3.0,14.0,-75.0,63.0,400,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,4.0,138.0,97.0,38.0,38.5,73.6,down,-35.1,13.0,5.0,Over-Supplied,Professional/Cert
College English,33.0,4.0,40.0,-88.0,204.0,856,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,,,,,,,,4.0,930.0,691.0,46.0,45.9,76.3,down,-30.4,61.0,28.0,Over-Supplied,College
Finance,6.0,3.0,7.0,-50.0,21.0,200,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,,,,,,,6.0,1.0,140.0,107.0,12.0,12.5,80.3,down,-67.8,8.0,1.0,Over-Supplied,College
Biochemistry,8.0,3.0,10.0,-62.0,35.0,267,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,4.0,232.0,175.0,50.0,50.0,75.7,down,-25.7,2.0,1.0,On Track,College
College Economics,5.0,4.0,6.0,-17.0,6.0,121,False,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,,,,,,,2.0,3.0,180.0,146.0,67.0,66.7,81.6,down,-14.9,6.0,4.0,On Track,College
Autocad,2.0,2.0,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,2.0,1.0,67.0,50.0,100.0,100.0,73.8,up,26.2,2.0,2.0,On Track,Arts & Music
AP Pre-Calculus,8.0,37.0,10.0,362.0,-203.0,22,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,25.0,,,,,,,9.0,19.0,505.0,434.0,71.0,71.4,86.4,down,-14.9,14.0,10.0,True Supply Problem,AP
Managerial Accounting,5.0,4.0,6.0,-23.0,8.0,130,False,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,,,,,,,0.0,3.0,123.0,103.0,33.0,33.3,85.0,down,-51.7,3.0,1.0,Over-Supplied,College
Macroeconomics,5.0,3.0,6.0,-31.0,11.0,146,False,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,,,,,,,1.0,2.0,114.0,90.0,100.0,100.0,78.8,up,21.2,1.0,1.0,On Track,College
AP Environmental Science,4.0,4.0,5.0,-4.0,1.0,104,False,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,,,,,,,0.0,4.0,120.0,92.0,50.0,50.0,77.1,down,-27.1,2.0,1.0,On Track,AP
High School World History,13.0,4.0,16.0,-73.0,66.0,364,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,,,,,,,,3.0,308.0,221.0,29.0,28.6,73.8,down,-45.2,14.0,4.0,Over-Supplied,High School
AP Macroeconomics,2.0,3.0,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,98.0,82.0,84.0,,83.7,,,0.0,0.0,True Supply Problem,AP
IB Mathematics: Applications and Interpretation,1.0,3.0,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,122.0,103.0,84.0,,84.4,,,0.0,0.0,True Supply Problem,IB
IB Chemistry,2.0,3.0,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,,,,,,,0.0,1.0,111.0,88.0,79.0,,79.3,,,0.0,0.0,True Supply Problem,IB
Digital Media,13.0,3.0,16.0,-74.0,67.0,379,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,,,,,,,3.0,94.0,73.0,60.0,60.0,78.7,down,-18.7,5.0,3.0,On Track,Arts & Music
Artificial Intelligence (AI),4.0,3.0,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,1.0,85.0,74.0,50.0,50.0,88.0,down,-38.0,2.0,1.0,On Track,College
Management,2.0,3.0,2.0,57.0,-8.0,64,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,,,,,,,,0.0,1.0,163.0,127.0,0.0,0.0,79.4,down,-79.4,3.0,0.0,Placement Bottleneck,College
Viral Content Creation,1.0,4.0,1.0,286.0,-20.0,26,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,22.0,18.0,82.0,,81.8,,,0.0,0.0,True Supply Problem,Other
Social Networking,1.0,4.0,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,,,,,,,0.0,1.0,64.0,52.0,81.0,,81.2,,,0.0,0.0,True Supply Problem,Technology
Middle School English,81.0,2.0,97.0,-98.0,554.0,4362,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,9.0,2313.0,1697.0,41.0,41.0,75.1,down,-34.1,117.0,48.0,Over-Supplied,Middle School
MCAT,5.0,3.0,6.0,-49.0,17.0,194,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,2.0,3.0,130.0,107.0,80.0,80.0,82.4,flat,-2.4,5.0,4.0,On Track,Test Prep
ESL/ELL,23.0,3.0,28.0,-88.0,142.0,847,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,14.0,1.0,863.0,634.0,24.0,24.0,74.9,down,-50.9,25.0,6.0,Over-Supplied,Language
Python,12.0,2.0,14.0,-83.0,70.0,600,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,3.0,471.0,378.0,62.0,62.5,80.6,down,-18.1,8.0,5.0,On Track,College
Anatomy & Physiology,21.0,2.0,25.0,-92.0,135.0,1225,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,4.0,440.0,319.0,46.0,45.8,74.0,down,-28.2,24.0,11.0,Over-Supplied,College
Kindergarten Readiness,14.0,3.0,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,282.0,211.0,21.0,21.4,77.6,down,-56.2,14.0,3.0,Over-Supplied,Elementary
Microsoft Excel,13.0,3.0,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,404.0,309.0,33.0,33.3,77.8,down,-44.5,12.0,4.0,Over-Supplied,Technology
HSPT,6.0,4.0,7.0,-31.0,13.0,145,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,,,,,,,,9.0,3.0,176.0,143.0,79.0,79.2,81.6,flat,-2.4,24.0,19.0,On Track,Test Prep
AP US History,9.0,3.0,11.0,-68.0,43.0,315,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,,,,,,,5.0,1.0,278.0,190.0,33.0,33.3,69.1,down,-35.8,6.0,2.0,Over-Supplied,AP
Chess,2.0,2.0,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,96.0,81.0,0.0,0.0,85.3,down,-85.3,1.0,0.0,Over-Supplied,Other
Spanish 3,12.0,3.0,14.0,-79.0,66.0,467,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,529.0,414.0,14.0,14.3,79.1,down,-64.8,7.0,1.0,Over-Supplied,Language
High School Reading,39.0,3.0,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,2.0,950.0,720.0,30.0,29.7,77.7,down,-47.9,37.0,11.0,Over-Supplied,High School
ASVAB,2.0,3.0,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,,,,,,,0.0,3.0,62.0,49.0,0.0,0.0,80.3,down,-80.3,1.0,0.0,Placement Bottleneck,Test Prep
Piano,6.0,2.0,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,166.0,115.0,0.0,0.0,71.4,down,-71.4,5.0,0.0,Over-Supplied,Arts & Music
